j,Первая разность,Вторая разность
0,-3.9797874592873916,35.16794149988024
1,-0.46299330929936655,1.8071089376625378
2,-0.28228241553311273,0.773711976159097
3,-0.20491121791720301,0.43528112899400273
4,-0.16138310501780273,0.28044955689403567
5,-0.13333814932839916,0.19626160782266752
6,-0.1137119885461324,0.14526025342724844
7,-0.09918596320340756,0.11196755611975193
8,-0.08798920759143236,0.08900765674624277
9,-0.07908844191680808,0.07249136084144235
10,-0.07183930583266385,0.06020596164288959
11,-0.06581870966837489,0.05081549911165605
12,-0.06073715975720928,0.04347385287324367
13,-0.05638977446988491,0.03762361756247667
14,-0.052627412713637245,0.032885260855119995
15,-0.049338886628125245,0.028992997576859907
16,-0.04643958687043925,0.025756136109511548
17,-0.0438639732594881,0.023034944447930524
18,-0.041560478814695045,0.020725114829645005
19,-0.039487967331730545,
